step  7040 | loss 5.9015 | lm 5.9015 | ppl 365.6 | gnorm 1.288 | lr 8.74e-05 | 129139 tok/s | Φ 0.875 | λ₁ 0.352 | ign 0.44 | mesoLG 0.49 | troph 4/4 μ2.00 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.438 θ=0.271 γ=0.290]
step  7060 | loss 5.8512 | lm 5.8512 | ppl 347.6 | gnorm 0.972 | lr 8.67e-05 | 132022 tok/s | Φ 0.882 | λ₁ 0.352 | ign 0.43 | mesoLG 0.50 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.375 θ=0.262 γ=0.363]
step  7080 | loss 5.9059 | lm 5.9059 | ppl 367.2 | gnorm 1.090 | lr 8.60e-05 | 133354 tok/s | Φ 0.851 | λ₁ 0.352 | ign 0.45 | mesoLG 0.49 | troph 4/4 μ2.04 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.459 θ=0.240 γ=0.301]
step  7100 | loss 5.8236 | lm 5.8236 | ppl 338.2 | gnorm 0.905 | lr 8.53e-05 | 131695 tok/s | Φ 0.841 | λ₁ 0.352 | ign 0.43 | mesoLG 0.50 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.432 θ=0.273 γ=0.295]
step  7120 | loss 5.7859 | lm 5.7859 | ppl 325.7 | gnorm 1.044 | lr 8.46e-05 | 132998 tok/s | Φ 0.832 | λ₁ 0.352 | ign 0.36 | mesoLG 0.47 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.380 θ=0.272 γ=0.348]
step  7140 | loss 6.0000 | lm 6.0000 | ppl 403.4 | gnorm 1.105 | lr 8.39e-05 | 131887 tok/s | Φ 0.838 | λ₁ 0.352 | ign 0.39 | mesoLG 0.47 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.360 θ=0.241 γ=0.399]
step  7160 | loss 5.7729 | lm 5.7729 | ppl 321.5 | gnorm 1.367 | lr 8.32e-05 | 129783 tok/s | Φ 0.897 | λ₁ 0.352 | ign 0.40 | mesoLG 0.49 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.346 θ=0.262 γ=0.393]
step  7180 | loss 5.4302 | lm 5.4302 | ppl 228.2 | gnorm 1.509 | lr 8.25e-05 | 129057 tok/s | Φ 0.935 | λ₁ 0.352 | ign 0.46 | mesoLG 0.54 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.390 θ=0.223 γ=0.387]
step  7200 | loss 5.3754 | lm 5.3754 | ppl 216.0 | gnorm 1.093 | lr 8.18e-05 | 128508 tok/s | Φ 0.872 | λ₁ 0.352 | ign 0.41 | mesoLG 0.51 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.405 θ=0.269 γ=0.326]
step  7220 | loss 5.2560 | lm 5.2560 | ppl 191.7 | gnorm 1.014 | lr 8.11e-05 | 130785 tok/s | Φ 0.866 | λ₁ 0.352 | ign 0.44 | mesoLG 0.48 | troph 4/4 μ2.05 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.428 θ=0.245 γ=0.327]
step  7240 | loss 5.1654 | lm 5.1654 | ppl 175.1 | gnorm 1.103 | lr 8.04e-05 | 131839 tok/s | Φ 0.930 | λ₁ 0.352 | ign 0.41 | mesoLG 0.51 | troph 4/4 μ2.05 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.335 θ=0.264 γ=0.401]
step  7260 | loss 5.3414 | lm 5.3414 | ppl 208.8 | gnorm 1.102 | lr 7.98e-05 | 133746 tok/s | Φ 0.898 | λ₁ 0.352 | ign 0.42 | mesoLG 0.49 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.330 θ=0.275 γ=0.394]
step  7280 | loss 5.4050 | lm 5.4050 | ppl 222.5 | gnorm 0.853 | lr 7.91e-05 | 134228 tok/s | Φ 0.863 | λ₁ 0.352 | ign 0.40 | mesoLG 0.49 | troph 4/4 μ2.01 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.330 θ=0.280 γ=0.390]
step  7300 | loss 5.2885 | lm 5.2885 | ppl 198.0 | gnorm 1.627 | lr 7.84e-05 | 130921 tok/s | Φ 0.847 | λ₁ 0.352 | ign 0.44 | mesoLG 0.47 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.410 θ=0.335 γ=0.255]
step  7320 | loss 5.9041 | lm 5.9041 | ppl 366.5 | gnorm 0.997 | lr 7.77e-05 | 134022 tok/s | Φ 0.879 | λ₁ 0.352 | ign 0.41 | mesoLG 0.48 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.416 θ=0.299 γ=0.285]
step  7340 | loss 5.8285 | lm 5.8285 | ppl 339.9 | gnorm 1.009 | lr 7.71e-05 | 133695 tok/s | Φ 0.866 | λ₁ 0.352 | ign 0.45 | mesoLG 0.49 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.468 θ=0.277 γ=0.255]
